Id,PostId,Score,CreationDate,UserId,Tags,ViewCount,AnswerCount
"120453196","68152730","163","2021-06-27 15:53:10","1169091","<python><python-3.x><list><indexing><swap>","20680","8"
"124341718","70340719","97","2021-12-13 20:49:56","2410359","<c++><arrays><initialization><undefined-behavior><zero-initialization>","5668","5"
"120453231","68152730","88","2021-06-27 15:55:31","1169091","<python><python-3.x><list><indexing><swap>","20680","8"
"124341696","70340719","82","2021-12-13 20:48:37","10686048","<c++><arrays><initialization><undefined-behavior><zero-initialization>","5668","5"
"125582897","71039947","78","2022-02-08 20:11:24","1196549","<c++><optimization><benchmarking><branch-prediction>","9565","9"
"121180438","1642028","74","2021-07-29 00:16:35","204555","<c><operators><code-formatting><standards-compliance>","906056","29"
"124341688","70340719","62","2021-12-13 20:48:23","2752075","<c++><arrays><initialization><undefined-behavior><zero-initialization>","5668","5"
"123936122","70110562","59","2021-11-25 11:51:33","3370124","<c++><assembly><optimization><compiler-optimization>","4068","3"
"118463689","62671106","58","2021-04-09 10:19:21","13743703","<android><android-fragments><android-activity><onactivityresult>","216053","25"
"126084331","71324369","57","2022-03-03 01:13:53","4996248","<python><loops><time-complexity>","4364","6"
"123382484","69801126","54","2021-11-01 18:24:46","7359094","<c++><c++20><auto><c++-concepts><std-integral>","6479","3"
"119157777","67414007","51","2021-05-06 08:06:49","1536976","<java><floating-point>","5214","4"
"120862623","68387270","49","2021-07-15 03:21:23","1001341","<android><android-studio><android-emulator><android-studio-4.2>","275754","29"
"120463052","68152730","45","2021-06-28 06:55:54","13270392","<python><python-3.x><list><indexing><swap>","20680","8"
"124341740","70340719","45","2021-12-13 20:50:59","2410359","<c++><arrays><initialization><undefined-behavior><zero-initialization>","5668","5"
"123760528","70011022","39","2021-11-17 20:28:47","1410664","<c#><if-statement><syntax>","7998","3"
"120890658","68387270","37","2021-07-16 05:20:59","8601451","<android><android-studio><android-emulator><android-studio-4.2>","275754","29"
"123032406","69598304","36","2021-10-17 16:15:45","366904","<types><julia>","1109","1"
"122763229","21181231","34","2021-10-05 17:56:26","524504","<certificate><ssl-certificate><gitlab>","773351","30"
"121099060","68521280","34","2021-07-25 20:48:53","3553087","<java><inner-classes><java-16>","3310","2"
"118576944","67083039","33","2021-04-14 00:40:52","1470749","<python><python-3.x><operator-precedence><short-circuiting>","8704","3"
"121254102","68610799","33","2021-08-01 13:24:00","10871073","<c><pointers><void-pointers>","4716","5"
"118310194","66930450","30","2021-04-03 12:28:36","2805305","<c++><copy-assignment>","8619","3"
"125320399","70882092","30","2022-01-28 05:04:39","4474419","<python><cpython><python-internals>","7224","3"
"120962547","68444429","30","2021-07-19 17:14:38","845092","<c++><multithreading><performance><intel><apple-m1>","6763","5"
