Id,PostId,Score,CreationDate,UserId,Tags,ViewCount,AnswerCount
"793695","985280","23","2009-06-12 06:47:41","24424","<c#><constructor>","119213","4"
"83388596","48203314","17","2018-01-11 09:39:16","3545273","<c++><c><language-lawyer>","2183","4"
"90683777","50782806","16","2018-08-15 20:16:23","4815718","<android><google-maps><google-play-services>","70338","10"
"14790392","11253360","15","2012-06-28 21:49:56","1267286","<memory><haskell><memory-management><recursion><callstack>","922","4"
"83390881","48203314","14","2018-01-11 10:34:35","3545273","<c++><c><language-lawyer>","2183","4"
"8612199","7174927","11","2011-08-24 11:57:04","552450","<python><sockets>","142059","3"
"1607497","1727603","11","2009-11-13 09:37:30","24424","<java><javabeans>","78472","4"
"73197099","43055876","10","2017-03-27 20:55:18","4815718","<android><firebase><firebase-analytics>","5264","1"
"25173062","17348058","10","2013-06-27 17:08:01","1603627","<javascript><angularjs><angularjs-ng-repeat>","142287","12"
"62961324","37743940","8","2016-06-10 10:22:29","3545273","<python><string><date><python-3.x>","27758","4"
"33460226","22065358","8","2014-02-27 10:41:32","1935631","<haskell><types>","10261","5"
"59638534","35992943","7","2016-03-14 16:30:33","1716356","<php>","44","3"
"89074484","51041700","7","2018-06-26 11:27:18","3545273","<python><python-3.x>","168","8"
"43474353","27522498","7","2014-12-17 09:53:27","2044766","<ios><swift><fullscreen>","8544","2"
"63435224","35243601","7","2016-06-23 15:23:24","2044766","<ios><xcode><ios-simulator><react-native>","40386","16"
"1411108","1553178","7","2009-10-12 07:31:00","24424","<jquery><encryption>","11771","4"
"84857556","48925009","7","2018-02-22 11:02:03","3545273","<java><locale>","122","1"
"107075976","60525791","6","2020-03-04 12:20:44","3545273","<c++><arrays><pointers>","100","2"
"75722566","44359820","6","2017-06-05 01:01:53","4815718","<android><firebase><firebase-realtime-database><widget>","1146","0"
"41453594","26401943","6","2014-10-16 10:28:21","1935631","<haskell>","269","2"
"66956402","39825543","6","2016-10-03 14:04:17","4815718","<android><firebase>","110458","22"
"111553979","63083566","6","2020-07-25 02:08:34","1683402","<javascript><reactjs><redux><react-redux>","56","1"
"89508873","51265281","6","2018-07-10 12:41:40","3545273","<c++><performance>","1413","2"
"91966374","52513327","6","2018-09-26 08:33:51","3545273","<python><json><string><dictionary>","62","2"
"33134426","21883024","6","2014-02-19 14:17:24","1935631","<haskell><monads><pointfree>","377","1"
"73701509","43318493","6","2017-04-10 08:47:51","3545273","<c++><c++11><portability><c++17><c++-standard-library>","12245","4"
"63099899","37817416","5","2016-06-14 16:49:32","4815718","<android><firebase><firebase-realtime-database>","3849","1"
"27847877","18870643","5","2013-09-18 11:18:10","1935631","<string><haskell><filter><duplicates>","284","5"
"16945099","12576698","5","2012-09-25 05:33:29","194345","<c#><asp.net><image-processing>","100","0"
"38533849","24821938","5","2014-07-18 09:46:32","1522753","<java><arrays><arraylist>","195","3"
"33694143","22196278","5","2014-03-05 11:24:22","1935631","<haskell>","309","1"
"77700357","27266338","5","2017-07-28 09:34:22","377927","<python><c><arrays><numpy>","12257","1"
"124978927","70696621","5","2022-01-13 12:37:34","3545273","<c++><parsing><encoding><srt>","35","0"
"112036398","63359274","5","2020-08-11 13:38:04","3545273","<c++><operator-overloading><operator-keyword><explicit-conversion>","173","1"
"88666145","50830843","5","2018-06-13 07:05:52","3545273","<c>","92","4"
"60475862","36430561","5","2016-04-05 15:33:36","194345","<javascript><jquery><html>","191325","5"
"115487100","65324432","5","2020-12-16 13:54:44","3545273","<c>","83","1"
"82584639","47811514","5","2017-12-14 11:00:34","3545273","<python><email><server>","415","1"
"99569844","56490318","5","2019-06-07 08:12:55","3545273","<c++><templates><vector>","405","2"
"36764768","23882024","5","2014-05-27 06:12:58","3545273","<python><csv><quotes><double-quotes>","32720","4"
"36647170","23820249","5","2014-05-23 03:10:33","2801779","<android><spinner>","3750","2"
"53764960","32970110","5","2015-10-06 12:35:43","1716356","<php><mysql><database><insert-into>","888","8"
"98893952","56131432","5","2019-05-14 13:20:13","5688187","<c><list><recursion><return><ansi>","181","1"
"46587455","28919663","5","2015-03-21 18:04:12","3284644","<angularjs><http-headers><angular-http>","17987","2"
"51058750","31550099","5","2015-07-21 21:41:58","3545273","<c++><memory><malloc>","1720","5"
"45777112","28747097","5","2015-02-26 16:20:06","3545273","<java><math><combinations><permutation>","3789","1"
"114260047","64620668","5","2020-10-31 10:26:43","3545273","<c><assembly><disassembly><objdump>","48","0"
"109660157","62001896","5","2020-05-25 12:19:28","3545273","<c>","914","2"
"51725889","31905898","4","2015-08-09 15:49:52","3545273","<c++>","81156","2"
"61850074","37155733","4","2016-05-11 08:18:08","3545273","<java><nio><java-io>","4077","2"
"93227195","53168567","4","2018-11-06 09:07:02","3545273","<python>","195","2"
"41416073","26379281","4","2014-10-15 10:49:03","1935631","<haskell><monads>","437","1"
